"gene","ig_int","ig","km_x","hc","sc_a","pl_sc"
"93802_at",6,8,8,8,2,11
"160468_at",4,4,13,13,9,9
"96285_at",5,4,6,6,13,9
"96980_at",8,13,2,8,7,2
"100915_at",4,4,13,6,9,9
"97542_at",5,4,1,1,13,9
"96939_at",8,13,11,11,2,2
"95506_at",11,11,3,3,5,5
"98570_at",14,10,8,8,3,3
"97873_at",3,8,1,1,2,11
"98586_at",9,12,13,13,12,12
"97860_at",13,8,3,3,1,11
"95070_at",1,12,1,1,10,12
"100152_at",8,13,11,11,2,2
"94509_at",3,8,1,1,14,11
"100144_at",14,14,12,12,10,10
"101536_at",3,13,1,1,5,2
"101059_at",7,3,2,8,6,1
"96280_at",5,9,3,6,13,4
"96915_f_at",9,12,10,3,12,12
"160237_at",9,12,9,9,10,12
"96887_at",13,13,13,13,2,2
"100079_at",13,2,3,3,12,8
"93972_at",13,8,3,6,2,11
"99593_at",13,13,3,3,2,2
"97874_at",13,2,13,13,12,8
"93101_s_at",14,14,14,14,3,10
"93519_s_at",4,5,10,10,9,13
"160535_at",3,3,1,1,13,7
"100120_at",11,7,11,11,13,6
"94236_at",5,5,10,10,13,13
"161161_r_at",9,12,7,7,10,12
"92625_at",10,10,12,12,3,3
"93830_at",2,2,14,14,9,8
"160344_at",9,12,14,14,10,12
"92626_at",7,6,7,7,6,14
"96259_at",13,13,13,13,2,2
"101634_at",10,10,5,5,3,3
"93043_at",5,5,1,1,13,13
"160925_at",8,8,7,7,14,11
"95016_at",5,5,2,2,13,13
"97229_at",2,2,14,14,12,8
"94839_at",7,11,1,1,6,5
"160885_at",2,13,12,12,9,2
"101977_at",13,6,13,6,2,14
"94435_at",11,6,7,7,5,1
"97270_at",11,11,1,1,5,6
"101013_at",1,1,12,12,10,12
"95413_at",13,3,3,6,1,1
"93807_at",8,2,8,8,2,8
"99158_at",3,6,1,1,5,14
"92845_at",8,13,11,11,2,2
"104139_at",11,11,7,7,5,5
"93108_at",5,4,1,1,13,9
"100720_at",14,14,5,5,3,10
"92774_at",8,13,11,11,2,2
"100560_at",3,3,7,7,9,1
"160187_at",3,3,7,7,9,7
"95743_at",2,6,14,14,1,14
"97821_at",3,13,1,1,2,2
"96641_at",13,13,3,6,1,2
"104218_s_at",8,8,11,11,5,11
"94552_at",2,2,12,12,12,8
"99195_at",4,3,8,8,9,1
"93349_at",11,6,13,9,5,14
"104080_at",1,12,13,13,10,12
"93968_at",13,13,3,3,2,2
"162490_f_at",8,8,11,11,14,11
"95040_at",11,6,11,11,5,1
"94932_at",3,8,1,1,14,11
"98102_at",2,2,10,10,13,8
"101060_at",5,4,3,3,13,9
"95423_at",3,8,9,9,2,11
"94208_at",11,8,10,10,5,1
"92806_at",11,6,7,7,1,14
"100548_at",7,7,1,1,6,6
"93124_at",4,4,8,8,12,4
"97825_at",8,13,2,8,2,2
"94555_at",9,9,3,3,12,4
